0;0;0;0;land;false;unknown;0
1;210;233;137;land;false;mountain;1
2;206;114;252;land;true;forest;1
3;223;186;173;land;true;plains;1
4;221;216;94;land;false;forest;1
5;237;99;169;land;false;hills;1
6;168;140;243;land;false;forest;1
7;231;235;126;land;false;forest;1
8;231;98;211;land;false;mountain;1
9;241;204;250;land;false;hills;1
10;191;239;110;land;false;hills;1
11;220;43;238;land;false;hills;1
12;225;230;126;land;false;plains;1
13;151;207;162;land;false;urban;1
14;201;199;229;land;true;hills;1
15;166;220;173;land;false;hills;1
16;188;175;147;land;false;plains;1
17;217;144;251;land;true;hills;1
18;146;208;232;land;false;forest;1
19;216;165;164;land;false;plains;1
20;118;191;228;land;true;mountain;1
21;211;182;212;land;false;hills;1
22;108;248;244;land;false;mountain;1
23;212;231;198;land;true;mountain;1
24;218;180;210;land;false;urban;1
25;252;230;66;land;false;hills;1
26;240;254;58;land;false;forest;1
27;190;123;225;land;false;hills;1
28;155;191;222;land;false;forest;1
29;196;213;168;land;false;mountain;1
30;249;107;230;land;false;mountain;1
31;164;150;230;land;false;hills;1
32;192;190;152;land;false;mountain;1
33;250;186;128;land;false;hills;1
34;236;223;202;land;false;plains;1
35;246;246;114;land;false;hills;1
36;191;198;163;land;false;mountain;1
37;200;178;141;land;false;forest;1
38;201;101;232;land;false;hills;1
39;161;218;179;land;false;urban;1
40;216;199;155;land;false;plains;1
41;162;126;245;land;false;hills;1
42;107;221;221;land;false;hills;1
43;191;176;209;land;false;hills;1
44;160;163;196;land;false;plains;1
45;206;210;153;land;false;mountain;1
46;193;223;218;land;false;desert;1
47;211;136;214;land;false;forest;1
48;210;254;180;land;false;plains;1
49;208;207;208;land;false;mountain;1
50;223;130;223;land;false;hills;1
51;235;228;220;land;false;urban;1
52;198;161;232;land;false;hills;1
53;193;198;133;land;false;mountain;1
54;239;245;137;land;false;forest;1
55;161;240;173;land;false;forest;1
56;149;150;252;land;false;mountain;1
57;190;253;166;land;false;mountain;1
58;215;203;141;land;false;plains;1
59;239;224;114;land;false;hills;1
60;230;182;117;land;false;mountain;1
61;208;191;146;land;false;hills;1
62;154;201;207;land;false;plains;1
63;196;121;206;land;false;hills;1
64;197;246;77;land;false;forest;1
65;235;129;139;land;true;hills;1
66;104;200;246;land;false;marsh;1
67;248;10;251;land;false;hills;1
68;216;237;106;land;false;jungle;1
69;230;219;103;land;false;hills;1
70;184;205;167;land;false;forest;1
71;194;220;227;land;false;hills;1
72;211;173;153;land;false;hills;1
73;23;235;251;land;true;forest;1
74;229;149;196;land;false;plains;1
75;208;238;230;land;false;forest;1
76;203;180;224;land;false;hills;1
77;209;153;247;land;false;hills;1
78;249;204;177;land;false;hills;1
79;243;172;202;land;false;forest;1
80;137;234;245;land;false;plains;1
81;241;184;105;land;false;plains;1
82;210;198;118;land;false;forest;1
83;203;171;244;land;false;hills;1
84;139;243;140;land;false;hills;1
85;184;253;128;land;false;hills;1
86;254;23;236;land;false;forest;1
87;166;218;193;land;false;hills;1
88;241;230;76;land;false;forest;1
89;203;213;137;land;false;forest;1
90;246;60;236;land;false;hills;1
91;128;194;239;land;false;forest;1
92;134;237;233;land;true;hills;1
93;220;235;177;land;true;forest;1
94;220;174;143;land;false;hills;1
95;181;112;220;land;true;hills;1
